,elevation,id,lat,lon
140,1604.0,325705580,46.7519434,11.9926537
141,1655.0,325705583,46.751947,11.9908995
142,1671.0,325705585,46.7519191,11.9890155
143,1729.0,325705586,46.7518487,11.987005
144,1729.0,325705589,46.7517038,11.9861814
145,1729.0,325705591,46.7516745,11.9857525
146,1811.0,325705603,46.7504614,11.9825943
147,2032.0,325706157,46.7414028,11.9745499
148,1993.0,325706158,46.741604,11.9751872
149,1185.0,325751319,46.7455365,12.009046
150,1241.0,325751324,46.7454384,12.0083319
151,1241.0,325751330,46.7450991,12.006251
152,1285.0,325751338,46.7447756,12.0049636
153,1350.0,325751342,46.7446874,12.0038907
154,1411.0,325751348,46.7445109,12.0015733
155,1411.0,325751351,46.7445907,12.0001566
156,1471.0,325751356,46.7447663,11.9992425
157,1471.0,325751360,46.7448353,11.998398
158,1514.0,325751363,46.7447957,11.9971393
159,1514.0,325751369,46.7449521,11.9963376
160,1555.0,325751376,46.7449521,11.995608
161,1555.0,325751380,46.7450697,11.9945352
162,1555.0,325751387,46.7449785,11.9938056
163,1613.0,325751392,46.7449227,11.9932048
164,1613.0,325751399,46.7449521,11.9923465
165,1668.0,325751403,46.7452749,11.9912816
166,1668.0,325751408,46.7454798,11.9900274
167,1705.0,325751411,46.7451718,11.988866
168,1768.0,325751422,46.7451552,11.9870689
169,1768.0,325751428,46.7452399,11.9862251
170,1820.0,325751434,46.7452167,11.9852654
171,1820.0,325751440,46.745305,11.9843642
172,1820.0,325751446,46.7453344,11.9836776
173,1876.0,325751451,46.7452755,11.9831626
174,1876.0,325751456,46.7450401,11.9827753
175,1876.0,325751462,46.7448638,11.9823472
176,1876.0,325751469,46.744643,11.9817178
177,1914.0,325751473,46.7445698,11.9811027
178,1914.0,325751479,46.7446146,11.980228
179,1914.0,325751486,46.7445983,11.9793653
180,1962.0,325754915,46.7448234,11.9772022
181,2001.0,325754920,46.7451285,11.976339
182,2046.0,325754924,46.7454503,11.9742411
183,2046.0,325755314,46.7443463,11.9733607
184,2046.0,325756275,46.7458089,11.9743662
185,2047.0,325756709,46.7437287,11.9729659
186,1703.0,343757756,46.7544092,11.9579752
187,1703.0,343757758,46.7558248,11.958127
188,1638.0,343757759,46.757027,11.9579643
189,1552.0,343757760,46.7583749,11.9587124
190,1552.0,343757761,46.7590463,11.9588851
191,1552.0,343757762,46.7597893,11.9595727
192,1424.0,343757764,46.7609223,11.960873
193,1424.0,343757765,46.7611694,11.960909
194,1424.0,343757766,46.7616175,11.9604868
195,1424.0,343757767,46.7617234,11.9601382
196,1282.0,343757769,46.7638997,11.9574939
197,1235.0,343757770,46.7643067,11.9562298
198,1156.0,343757771,46.7647404,11.9553662
199,1137.0,343757772,46.76593,11.9515907
200,1115.0,343757774,46.7658541,11.9491154
201,1115.0,343757775,46.7658485,11.94858
202,1057.0,343757776,46.7670506,11.9461228
203,1022.0,343757778,46.7680586,11.9434331
204,990.0,343757781,46.7700837,11.9417997
205,2274.0,343758485,46.7395196,11.9596051
206,2233.0,343758488,46.7398968,11.9591924
207,2233.0,343758491,46.7406565,11.9588571
208,2233.0,343758493,46.7414209,11.9587786
209,2137.0,343758495,46.7424454,11.9584137
210,2149.0,343758496,46.7432872,11.9579968
211,2072.0,343758497,46.7443583,11.9577887
212,2072.0,343758500,46.7456194,11.9578769
213,2005.0,343758501,46.7466672,11.9579002
214,2005.0,343758503,46.7478866,11.9579934
215,1945.0,343758504,46.7483761,11.9574179
216,1945.0,343758505,46.7493976,11.9572977
217,1858.0,343758508,46.750437,11.9573563
218,1766.0,343758510,46.7529979,11.9583667
219,2267.0,343759536,46.7393873,11.9580116
220,1692.0,343759542,46.7542589,11.9587753
221,1758.0,354930556,46.722833,11.9651954
222,2001.0,354930558,46.7161724,11.9708035
223,1474.0,354932669,46.7109921,11.9511505
224,1474.0,354932671,46.7111024,11.9505889
225,1798.0,354932673,46.7194042,11.9638322
226,1748.0,354932676,46.7229927,11.9633065
227,1833.0,354932678,46.7268538,11.968738
228,1548.0,354932996,46.7336508,11.9945958
229,1983.0,354941764,46.7367451,11.9730948
230,1983.0,354941766,46.7370103,11.9740859
231,1945.0,354941768,46.7364092,11.9757988
232,1872.0,354941771,46.7358579,11.9811879
233,1705.0,354941774,46.7351569,11.9877483
234,1657.0,354941776,46.7342328,11.9901335
235,1614.0,354941778,46.7332495,11.9919195
236,1614.0,354941781,46.7332186,11.9930923
237,1565.0,354941783,46.7332413,11.9939515
238,1548.0,354941785,46.7334283,11.994507
239,2001.0,354941793,46.716147,11.9699643
240,1911.0,354941794,46.7173387,11.9675597
241,1817.0,354941797,46.7207174,11.9648382
242,1946.0,354941802,46.7171598,11.9690889
243,1758.0,354941804,46.7220775,11.9646804
244,1911.0,354941806,46.7185749,11.9667004
245,1883.0,354941809,46.7185103,11.9652964
246,1798.0,354941812,46.7188866,11.9634241
247,1807.0,354941816,46.7177111,11.9629204
248,1727.0,354941818,46.7171284,11.9624465
249,1730.0,354941821,46.7166201,11.9614467
250,1730.0,354941823,46.7160814,11.960824
251,1686.0,354941825,46.7155374,11.959839
252,1629.0,354941827,46.7149497,11.9581791
253,1597.0,354941829,46.7143445,11.9566731
254,1577.0,354941831,46.7138415,11.9552281
255,1526.0,354941833,46.7129687,11.9515305
256,1526.0,354941836,46.7126688,11.9505937
257,1526.0,354941838,46.7125151,11.9504879
258,1474.0,354941840,46.7122834,11.9507339
259,1474.0,354941842,46.7122337,11.9511464
260,1474.0,354941844,46.7121635,11.9513337
261,1474.0,354941846,46.7118068,11.9515639
262,1474.0,354941848,46.7113592,11.9515444
263,1474.0,354941850,46.711168,11.9514531
264,1474.0,354941852,46.7108607,11.9512843
265,1474.0,354941856,46.7105916,11.9506519
266,1429.0,354941858,46.7098687,11.9493342
267,1429.0,354941860,46.7093411,11.9481965
268,1408.0,354941861,46.7089972,11.9467285
269,1402.0,354941863,46.7088003,11.9455181
270,1357.0,354941864,46.7080805,11.9433808
271,1325.0,354941865,46.7075096,11.9415708
272,1325.0,354941866,46.707038,11.9404063
273,1329.0,354941867,46.7064507,11.9389586
274,1324.0,354941868,46.7062149,11.9385682
275,1288.0,354941870,46.7052516,11.9364126
276,1288.0,354941871,46.7052275,11.9355013
277,1263.0,354941872,46.7051565,11.9335277
278,1242.0,354941873,46.7051143,11.9321795
279,1229.0,354941874,46.7046812,11.9305842
280,1129.0,433347727,46.7639615,11.941656
281,1850.0,445079692,46.7287717,11.9685184
282,1847.0,445079695,46.728933,11.9693254
283,1827.0,603134282,46.7355307,11.9831578
284,1789.0,603134285,46.7353674,11.98474
285,1872.0,603134286,46.735846,11.9801309
286,1657.0,603134287,46.734787,11.9896032
287,1705.0,603134288,46.7350523,11.9889499
288,1752.0,603134290,46.7351905,11.9862378
289,1657.0,603134292,46.733663,11.9907914
290,2197.0,603134293,46.7382367,11.9639664
